31;1;474;1300;1625;1980;Baseline;;
31;1;2500;2800;3120;3470;Baseline;;
31;1;4000;4800;5080;5500;Baseline;;
31;1;6200;6300;6620;6870;Baseline;;
31;1;7600;7700;7900;8350;Baseline;;
31;2;460;900;1110;1640;Baseline;;
31;2;3100;3200;3570;4050;Baseline;;
31;2;6000;6300;6600;7100;Baseline;;
22;4;2200;3400;3600;3900;;;
30;2;500;6100;6300;6600;Valid-700;;
31;4;1000;1300;1450;2000;Discrete-700;;
17;5;2000;3170;3370;3570;baseline;;
18;1;700;3600;3830;4250;Baseline;;
18;2;50;1880;2100;2400;Metranome;;
20;1;900;6250;6522;6860;Baseline;;
30;1;6200;6680;6900;7050;Baseline;;
31;3;400;550;780;1200;Metranome-700;;
22;3;500;2600;2880;3246;;;
22;6;900;2740;2890;3174;;;
30;1;6300;6500;6890;7232;Baseline;;
33;6;1100;2200;3230;3700;Discrete-500;;
18;5;700;1600;1815;2100;Baseline;;
18;6;1200;2540;2780;3100;Discrete;;
30;1;600;4600;4777;4970;Baseline;;
18;5;2439;2800;3100;3289;Baseline;;
29;5;400;500;1072;1500;Invalid;not suitable;
18;4;1700;1700;1948;2300;Invalid;not suitable;
